year,total_rooms,bedrooms,n_weeks_old,living_area,other_area,total_area,monthly_contrib,n_photos,n_photos_360,other_indoor_space,located_on,own_ground,flg_missing_year,flg_missing_total_rooms,flg_missing_bedrooms,flg_missing_n_weeks_old,flg_missing_living_area,flg_missing_other_area,flg_missing_total_area,flg_missing_monthly_contrib,flg_missing_n_photos,flg_missing_n_photos_360,flg_missing_type_of_construction,flg_missing_other_indoor_space,flg_missing_located_on,flg_missing_own_ground,bedrooms**2,bedrooms**3,n_photos**3,located_on**3,living_area**2,total_rooms**3,sqrt(other_area),sqrt(located_on),monthly_contrib**2,sqrt(other_indoor_space),other_indoor_space**3,other_area**2,total_area**3,id,price_category,zipcode,type_of_construction,energy_label
2009.0,3.0,2.0,0.0,80.0,0.0,0.0,175.0,25.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,8.0,15625.0,64.0,6400.0,27.0,0.0,2.0,30625.0,0.0,0.0,0.0,0.0,56,200K-300K,3011,Bestaande bouw,A
1936.0,2.0,1.0,5.0,50.0,1.0,0.0,28.0,18.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5832.0,0.0,2500.0,8.0,1.0,0.0,784.0,1.0,1.0,1.0,0.0,58,< 100K,3028,Bestaande bouw,D
2016.0,6.0,4.0,0.0,180.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,16.0,64.0,12167.0,0.0,32400.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,> 300K,3061,Nieuwbouw,A
1958.0,3.0,2.0,0.0,81.0,0.0,0.0,175.0,25.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,8.0,15625.0,27.0,6561.0,27.0,0.0,1.7320508075688772,30625.0,0.0,0.0,0.0,0.0,60,150K-200K,3055,Bestaande bouw,E
1938.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,< 100K,3082,Bestaande bouw,G
1980.0,5.0,4.0,0.0,129.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,16.0,64.0,10648.0,0.0,16641.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,200K-300K,3069,Bestaande bouw,C
1984.0,5.0,4.0,0.0,102.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,16.0,64.0,15625.0,0.0,10404.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,200K-300K,3068,Bestaande bouw,C
2008.0,4.0,3.0,0.0,105.0,0.0,0.0,166.0,33.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,27.0,35937.0,1.0,11025.0,64.0,0.0,1.0,27556.0,0.0,0.0,0.0,0.0,65,> 300K,3059,Bestaande bouw,A
1940.0,4.0,3.0,0.0,105.0,5.0,0.0,0.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,9.0,27.0,27000.0,1.0,11025.0,64.0,2.23606797749979,1.0,0.0,0.0,0.0,25.0,0.0,66,200K-300K,3051,Bestaande bouw,D
1938.0,4.0,3.0,24.0,95.0,4.0,0.0,0.0,33.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,27.0,35937.0,8.0,9025.0,64.0,2.0,1.4142135623730951,0.0,0.0,0.0,16.0,0.0,67,100K-150K,3074,Bestaande bouw,G
